META DATA;DI;EXPLANATION
an3+n5;29P;Product Classification Code as defined with the GMDN (Global Medical Device Nomenclature - http://www.gmdnagency.org).
;30P;First Level (Supplier Assigned).
;31P;Second Level (Supplier Assigned).
;32P;Third Level (Supplier Assigned).
;33P;Fourth Level (Supplier Assigned).
;34P;Fifth Level (Supplier Assigned).
;40P;A Code Assigned BY A Customer TO THE Identification Number OF THE Manufacturer's Material Safety Data Sheet (MSDS) document that describes the uses, hazards, and chemical composition of a hazardous material.
an3+an3...9;49P;Export Controlled Item. Subject to export control and or restrictions as identified in the Wassenaar Arrangement. DI followed by the Alpha-2 ISO 3166 Country Code of the country that imposed the restriction followed by Wassenaar Code (http://www.wassenaar.org/controllists/index.html).
an3+an3...35;50P;Manufacturer-Assigned Item Identifier - comprising an item number assigned by the item manufacturer, followed by a plus (+) sign, followed - if required to uniquely identify the item within the manufacturer's product range - by a manufacturer-assigned item version. Example 50PABC+6 would represent item number ABC, item version 6
;51P;Globally Unique Item Identifier comprising the Identification of a party to a transaction assigned by a holder of a Company Identification Number (CIN) and including the related Issuing Agency Code (IAC) in accordance with ISO/IEC 15459 and its registry, followed by a plus (+) sign, followed by the Manufacturer-assigned item identifier as defined with 50P. Example: 51PJ4LBE0431863103+ABC+ would represent the item with item number ABC and no version number manufactured by the company with Belgian VAT number 0431863103.
an3+an1...50;52P;Color Code. Color of an item/object identified by a code or term mutually agreed upon between trading partners.
an3+a1+n4+an5...20;53P;Identifier for Specific Marine Equipment approved under the European Union Directive on Marine Equipment (2014/90/EU) and Implementing Regulation (EU) 2018/608. For format see docs.
an3+an1...35;54P;UDI-DI (Unique Device Identification - Device Identifier) for Medical Devices (MD) and In-vitro-Diagnostics (IvD) as the unique key to public UDI data bases (GUDID, EUDAMED, etc.), according to national regulatory requirements, as outlined by the International Medical Device Regulators Forum (IMDRF). All printable characters of the UTF-8 character set are allowed.
;Q;Quantity, Number of Pieces, or Amount (numeric only) (unit of measure and significance mutually defined.
;1Q;Theoretical Length/Weight (numeric only).
;2Q;Actual Weight (numeric only).
an2+an2;3Q;Unit of Measure, as defined by the two character ANSI X12.3 Data Element Number 355 Unit of Measurement Code.
;4Q;Gross Amount.
;5Q;Net Amount.
;6Q;Where Multiple Containers Comprise a Single Product (the contents of each container must be combined with the content of the other containers to constitute a single product) the Data Identifier "6Q" shall be used to link the various containers. The format # of # ("this is the nth piece of x pieces to define the product") Presented in the format "n/x", where the "/" (slash) is used as a delimiter between two values.
an2+n1...8+an2;7Q;Quantity, Amount, or Number of Pieces in the format: Quantity followed by the two character ANSI X12.3 Data Element Number 355 Unit of Measurement Code.
an2+n4...6;8Q;Container Rated Weight. Manufacturer-assigned weight carrying capability of the container. Assigned at time of manufacture. Unit of measure is kg.
;9Q;Piece Weight: weight of a single item.
an3+n4...6;11Q;Tare Weight: weight of an empty container. Container body weight. Manufacturer-assigned weight of the empty container. Assigned at time of manufacture. Unit of measure is kg (Tare weight).
an3+n1...10+an3;12Q;Monetary Value established by the Supplier in the format of: the value followed by an ISO 4217 data element code for representing unit of value of currencies and funds (e.g., 12Q2.50USD) (2.50 Monetary Value in USA Dollars) significance mutually defined. Entry Value. Value followed by an ISO 4217 data element code for representing unit of value of currencies and funds (e.g., 12Q2.50USD) (2.50 Monetary Value in USA Dollars)
;13Q;# of # ("this is the nth piece of x pieces in this shipment") Presented in the format "n/x", where the "/" (slash) is used as a delimiter between two values. See Annex C.6.3 for further information.
;14Q;Beginning Secondary Quantity.
;15Q;Ending Secondary Quantity.
;16Q;Number Of Pieces in Van.
;17Q;Number Of Shipments in Van.
;18Q;Cube expressed in cubic meters or cubic feet followed by the ANSI X12.3 data element number 355 unit of measure code (CR of CF). No implied decimal point.
;19Q;Width expressed in linear meters or linear feet followed by the ANSI X12.3 data element number 355 unit of measure code (LC or LF). No implied decimal point.
;20Q;Height expressed in linear meters or linear feet followed by the ANSI X12.3 data element number 355 unit of measure code (LC or LF). No implied decimal point.
;21Q;Length expressed in linear meters or linear feet followed by the ANSI X12.3 data element number 355 unit of measure code (LC or LF). No implied decimal point.
;22Q;Net Weight Of Shipment expressed in pounds or kilograms (kilos) followed by the ANSI X12.3 data element number 355 unit of measure (LB or KG). No implied decimal point.
;23Q;Van Length expressed in linear meters or linear feet followed by the ANSI X12.3 data element number 355 unit of measure (LC or LF). No implied decimal point.
;24Q;Inside Cube of a Van expressed in cubic meters or cubic feet followed by the ANSI X12.3 data element number 355 of unit measure code (CR or CF). No implied decimal point.
;25Q;Net Explosive Weight (a computed value of explosive equivalent expressed in pound of TNT). The measure of NEW is used internationally for explosive safety quantity distance arc computations. No implied decimal point.
;26Q;Packaging Level, specifying the hierarchical level of packaging in accordance with HIBC (Health Industry Bar Code) specifications.
an3+an1...20;27Q;Single Product Price Value, Net, "." (dot) used as decimal point (e.g., 27Q1000.5 for the price value of 1000.50) Structure: an3+an1...20 <DI><price value> Character set: 0 to 9, dot (ISO 646 ASCII value decimal 46, hexadecimal 2E). See docs for examples.
an3+an1...10;28Q;Single Price Charge Value For Postage And Packaging, "." (dot) represents the position of a comma (e.g., 28Q100.50 for the value of 100,50) Structure: an3+an1...10 <DI><price value> Character set: 0 to 9, dot. See docs for examples.
an3+n1...6;29Q;Discount Percentage, "." (dot) represents the position of a comma (e.g., 29Q8.5 for a discount value of 8,5%) Structure: an3+n1...6 (12.456) <DI><discount percentage (%)> Character set: 0 to 9, dot. See docs for examples.
an3+an1...5;30Q;VAT Percentage, "." (dot) represents the position of a comma (e.g., 30Q8.5 for the VAT value of 8,5%) Structure: an3+an1...5 (12.45) <DI><VAT percentage (%)> Character set: 0 to 9, dot. See docs for examples.
an3+an3;31Q;Currency, ISO 4217 currency code. Structure: an3+an3 <DI><Currency, e.g., EUR> Character set: A-Z, 0 to 9, see docs for examples.
;1R;Return Authorization Code (RMA) assigned by the Supplier.
;2R;Return Code Assigned by the Customer.
an4;4R;U.S. Department of Defense Identification Code (DoDIC).
;5R;Data in the format and using semantics defined by the holder of a Company Identification Number (CIN) that has been issued by an Issuing Agency Code (IAC) in accordance with ISO/IEC 15459, defined as a sequence of concatenated data elements: IAC, followed by CIN, followed by the separator character ":" (colon) followed by the data in the fo
;6R;ISO/IEC 20248 digital signature data construct. If the underlying data carrier encoding is 7 bits, then only the ISO/IEC 20248 raw format may be used. See docs for examples.
an2+an1...3;7R;Aquatic Sciences and Fisheries Information System (ASFIS) ‘Inter-agency 3-alpha species code', maintained by the Food and Agriculture Organization of the United Nations (www.fao.org, then search for "ASFIS"). See docs for examples.
an2+an1...10;8R;Food and Agricultural Organization (FAO) International Standard Classification of Fishing Gears (ISSCFG) code. (www.fao.org) All characters of the GS1 General Specification-defined sub-set of ISO/IEC 646 are allowed. See docs for examples.
an2+an2;9R;Production method for fish and seafood as specified by the Fisheries and Aquaculture Department of the Food and Agricultural Organization (FAO) of the United Nations, according to EU Regulation 1379/2013. (www.fao.org). All characters of the GS1 General Specification-defined sub-set of ISO/IEC 646 are allowed. See docs for examples.
;S;Serial Number or Code Assigned by the Supplier to an Entity for its Lifetime, (e.g., computer serial number, traceability number, contract tool identification).
;1S;Additional Code Assigned by the Supplier to an Entity for its Lifetime (e.g., traceability number, computer serial number).
an2+an2...30;2S;Advance Shipment Notification (ASN) Shipment ID (SID) corresponds to ANSI ASC X12 Data Element 396.
;3S;Unique Package Identification Assigned by Supplier (lowest level of packaging which has a package ID code. Shall contain like items).
;4S;Package Identification Assigned by Supplier to master packaging containing like items on a single customer order
;5S;Package Identification Assigned by Supplier to master packaging containing unlike items on a single customer order.
;6S;Package Identification Assigned by Supplier to master packaging containing like items over multiple customer orders.
;7S;Package Identification Assigned by Supplier to master packaging containing unlike items over multiple customer orders.
an2+n18;8S;Supplier ID/Unique Container ID presented in the data format specified by the GS1 SSCC-18.
;9S;Package Identification, Generic (mutually defined).
;10S;Machine, Cell, or Tool ID Code.
;11S;Fixed Asset ID Code.
;12S;Document Number (internally assigned or mutually defined).
;13S;Container Security Seal.
;14S;4th Class Non-identical parcel post manifesting.
;15S;Serial Number Assigned by the Vendor Entity, that can only be used in conjunction with "13V".
;16S;Version Number, e.g., Software Version.
;17S;Combined 6-digit GS1 Supplier Identification and Unique Package Identification Assigned by the Supplier.
an3+an5 + an1...20;18S;CAGE Code & Serial Number Unique Within CAGE.
;19S;Combined Dun & Bradstreet company identification of the supplier followed by a unique package identification assigned by the supplier, in the format nn...nn+nn...n where a plus symbol (+) is used as a delimiter between the DUNS Number and unique package identification.
;20S;Traceability Code for an Entity Assigned by the Customer.
;21S;Tire Identification Number as defined by the U.S. Department of Transportation (D.O.T) under U.S. Code 49 CFR 574.5.
;22S;Unique Individual Identity for Cellular Mobile Telephones.
an3+an12;23S;Media Access Control (MAC) Address conforming with IEEE 802.11.
an3+n6...26;24S;According to ISO/IEC 15963 (value is a conversion of its bit value to 8-bit ASCII values). This Data Identifier could possibly assume any ASCII-256 value. For freight container tags the Registration Authority (RA) for manufacturers is the RA for ISO 14816. (ISO 646).
;25S;Identification of a party to a transaction assigned by a holder of a Company Identification Number (CIN) and including the related Issuing Agency Code (IAC) in accordance with ISO/IEC 15459 and its registry, structured as a sequence of 3 concatenated data elements: IAC, followed by CIN, followed by the supplier assign serial number that is unique within the CIN holder's domain.
an3+an1...35;26S;Equipment Identifier, being a globally unique identifier for a device, an item of equipment or instance of a computer application used in the production, transport, processing or other handling of items, that is constructed by concatenating, see docs.
;27S;Item Number Within Batch, being a string of numeric digits, see docs.
;28S;Batch-and-Item Number, being the concatenation of a data identifier 27T batch number and the data identifier 27S item number of an item belonging to the batch concerned.
;30S;Additional Traceability Code For An Entity Assigned by the Supplier in addition to or different from the traceability code(s) provided by "S" or "1S".
;31S;Beginning Serial Number for serial numbers in sequence.
;32S;Ending Serial Number for serial numbers in sequence.
;33S;Serial Number of Next Higher Assembly.
;34S;Serial Number or Part Number of End Item.
;35S;Bumper Number. (Used in Unit DOD Move).
;36S;Pallet Identifier. (Used for loaded 463L air pallets).
;37S;Unique Item Identifier comprised of a sequence of 5 data elements: "IAC", followed by "CIN", followed by "Part Number (PN)", followed by the "+" character, followed by the supplier assigned (or managed) "Part Serial Number (PSN)" that is globally unique within the CIN holder's domain, in the format IAC CIN PN + PSN (spaces provided for visual clarity only, they are not part of the data).
an3+n2+an1...3+an1...9+an1...30;42S;Unique Item Identifier (UII) in 25S format preceded by numeric value indicating serial number element length for use by systems that require the "serial number" component of a concatenated Serial Number element (IAC+CIN+SN). Format: DI+LI+IAC+CIN+SN (LI=length of SN).
an3+n1...7+n12...18+n1;43S;Integrated Circuit Card Identifier (ICCID) in accordance with ITU-T Recommendation E.118 and ETSI Recommendation GSM 11.11. A maximum of 20 digits consisting of Issuer identification number (IIN, maximum of 7 digits), Individual account identification (variable, length determined by IIN, but the same length within individual IINs), Check digit (single digit calculated using Luhn algorithm.
an3+an1...20;50S;First Level (Supplier Assigned).
an3+an1...20;51S;Second Level (Supplier Assigned).
an3+an1...20;52S;Third Level (Supplier Assigned).
an3+an1...20;53S;Fourth Level (Supplier Assigned).
an3+an1...20;54S;Fifth Level (Supplier Assigned).
an3+16...26;96S;EPC number (Typically Serialized Global Trade Identification Number - SGTIN).
an3+an4...25;97S;Encrypted serial number assigned by the Supplier to an entity, which can be authenticated by an independent trusted third party. The encrypted serial number does not describe any parameters of the entity without decryption by an independent third party.
;T;Traceability Number assigned by the Customer to identify/trace a unique group of entities (e.g., lot, batch, heat).
;1T;Traceability Number assigned by the Supplier to identify/trace a unique group of entities (e.g., lot, batch, heat).
;3T;Exclusive Assignment. (U.S. EPA vehicle identification for emissions testing).
;20T;First Level (Customer Assigned).
;21T;Second Level (Customer Assigned).
;22T;Third Level (Customer Assigned).
;23T;Fourth Level (Customer Assigned).
;24T;Fifth Level (Customer Assigned).
;25T;Identification of a party to a transaction assigned by a holder of a Company Identification Number (CIN) and including the related Issuing Agency Code (IAC) in accordance with ISO/IEC 15459 and its registry, structured as a sequence of 3 concatenated data elements: IAC, followed by CIN, followed by the supplier assigned traceability number that is unique within the CIN holder's domain.
;26T;Batch Identifier comprising the concatenation of see docs.
;27T;Batch Number, issued under the control of an identified party or unit of processing equipment, or under the provisions of an identified license, see docs.
;30T;First Level (Supplier Assigned).
;31T;Second Level (Supplier Assigned).
;32T;Third Level (Supplier Assigned).
;33T;Fourth Level (Supplier Assigned).
;34T;Fifth Level (Supplier Assigned). Specification of a postal service and associated process data in accordance with UPU standard S25 data construct "Service Data".
;6U;Licensing Post Data, in accordance with the specification in UPU standard S25.
;15U;Specification of supplementary postal service and associated process data in accordance with UPU standard S25 data construct "Supplementary Service Data".
;16U;Postal Administration Identifications, being the identification, expressed in accordance with the specification in UPU standard S25, of one or more postal administrations involved in the processing of a mail item or batch.
;17U;UPU Location Code, being a code identifying a location or geographic area, or an associated group of such locations or areas, that has relevance to a related transaction and that complies with one of the structures defined in a) to g) in the docs.
;18U;Qualified UPU Location Code, concatenation of: A) a location category drawn from UPU code list 139, B) a data identifier 17U UPU location code.
;19U;License Plate with Service Data and Location Code is a compound data construct, compliant with the specification in UPU standard S25, which includes specification of: A) an ISO/IEC 15459-compliant item identifier, B) a data identifier 5U compliant specification of the service to be provided in respect of the item, C) a data identifier 17U compliant UPU location code or a data identifier 18U compliant qualified UPU location code.
;55U;OCR Data Locator.
;V;Supplier Code Assigned by Customer.
;1V;Supplier Code Assigned by Supplier.
an2+n8;2V;U.P.C. Company Prefix.
an2+n9;3V;GS1 Company Prefix.
;4V;Carrier Identification Code assigned by an industry standard mutually defined by the Supplier, Carrier, and Customer.
;5V;Financial Institution Identification Code (mutually defined).
;6V;Manufacturer's Identification Code (mutually defined).
;7V;Code assigned to a party which has financial liability for an entity or group of entities (e.g., owner of inventory) (mutually defined).
;8V;Customer Code Assigned by the Customer.
;9V;Customer Code Assigned by the Supplier.
an3+an10...15;10V;Manufacturer ID.
;11V;Organization with budget responsibility for an entity, process, or procedure (e.g., shop, division, department)(internally assigned).
an3+n9...13;12V;DUNS Number Identifying Manufacturer.
an3+n9...13;13V;DUNS Number Identifying Supplier.
an3+n9...13;14V;DUNS Number Identifying Customer.
;15V;Carrier-Assigned Shipper Number.
;16V;VMRS Supplier ID.
an3+an5;17V;U.S. DoD CAGE Code.
;18V;Identification of a party to a transaction in which the data format consists of two concatenated segments. The first segment is the Issuing Agency Code (IAC) in accordance with ISO/IEC 15459, the second segment is a unique entity identification Company Identification Number (CIN) assigned in accordance with rules established by the issuing agency
;19V;Specification of a party's role(s), in a transaction, consisting of one or more code values from EDIFACT Code List 3035 "Party Qualifier", separated by plus (+) characters (Never to be concatenated with other DIs in a linear symbol or other media where the concatenation character is a plus (+) character).
;20V;Identification of a party to a transaction assigned by a holder of a Company Identification Number (CIN) and including the related Issuing Agency Code (IAC) in accordance with ISO/IEC 15459 and its registry, structured as a sequence of 3 concatenated data elements: IAC, followed by CIN, followed by a plus (+) character followed by one or more code values from EDIFACT Code List 3035 "Party Qualifier", separated by plus (+) characters (Never to be concatenated with other DIs in a linear symbol or other media where the concatenation character is a plus (+) character).
an3+an1...35;21V;Identification of a party to a transaction, e.g., 21V IAC CIN OSU, assigned by a holder of a Company Identification Number (CIN) and including the related Issuing Agency Code (IAC) in accordance with ISO/IEC 15459 and its registry, structured as a sequence of 3 concatenated data elements: IAC, followed by CIN, followed by the organizational sub-unit identification assigned by the CIN that is unique within the CIN holder's domain.
an3+an4;22V;Carrier SCAC. Standard Carrier Alpha Code - The National Motor Freight Traffic Association, Inc., (NMFTA) assigns SCACs for all companies except those codes used for identification of freight containers not operating exclusively in North America, intermodal chassis and trailers, non-railroad owned rail cars, and railroads.
an3+a2+an3...18;23V;Government-assigned Value Added Tax identification number identifying supplier, starting with an ISO 3166-1 alpha-2 country code (except for Greece, which uses the ISO 639-1 language code EL), followed by the government-assigned VAT number. See docs for example.
an3+a2+an3...18;24V;Government-assigned Value Added Tax identification number identifying customer, starting with an ISO 3166-1 alpha-2 country code (except for Greece, which uses the ISO 639-1 language code EL), followed by the government-assigned VAT number. See docs for example.
;W;Work Order Number (e.g., "Production Paper") (internally assigned).
;1W;Operation Sequence Number. A number that defines the order of a particular operation in a series of operations, generally in a manufacturing or assembly process.
;2W;Operation Code/Work Code - the type of work to be performed (internally assigned or mutually defined).
;3W;Combined Work Order Number and Operation Sequence Number in the format nn...n+nn...n where a plus symbol (+) is used as a delimiter between the Work Order Number and the Operation Sequence Number.
;4W;Status Code (internally assigned or mutually defined).
;5W;Work Unit Code -- identifies system, subsystem, assembly, component etc. on which maintenance is performed.
;6W;Nomenclature -- (internally assigned or mutually defined).
;10W;Form Control Number -- Preprinted control number on forms.
;11W;Quality Assurance Inspector -- Last Name.
;12W;Telephone Number of the Person/Activity Completing the Form -- expressed in the format (country code) city or area code plus local number i.e. (1) 319 555 1212.
;Z;Mutually Defined Between Customer and Supplier.
;1Z;Mutually Defined Between Carrier and Supplier.
;2Z;Mutually Defined Between Customer and Carrier.
;3Z;Free Text.
;4Z;Mutually Defined Between Carrier and Trading Partner.
;10Z;Structured Free Text (Header Data).
;11Z - 99Z;Structured Free Text (Line 1-89 Data).

